category,subcategory,text,guid,ha,severity,link,graph,cost,simple,security,scale,description
Operations,Scalability,If required consider using Azure Dedicated Hosts for AKS nodes,5ae124ba-34df-4585-bcdc-e9bd3bb0cdb3,,Low,https://learn.microsoft.com/azure/aks/use-azure-dedicated-hosts,,1.0,,,,"Larger nodes will bring higher performance and features such as ephemeral disks and accelerated networking, but they will increase the blast radius and decrease the scaling granularity"
Operations,Resources,Configure requests and limits in your pod specs,b54eb2eb-03dd-4aa3-9927-18e2edb11726,1.0,High,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,-1.0,,,
Operations,Resources,Enforce resource quotas for namespaces,769ef669-1a48-435a-a942-223ece80b123,1.0,Medium,https://docs.microsoft.com/azure/aks/operator-best-practices-scheduler,,,-1.0,,,
Operations,Resources,Ensure your subscription has enough quota to scale out your nodepools,081a5417-4158-433e-a3ad-3c2de733165c,,High,https://docs.microsoft.com/azure/azure-resource-manager/management/azure-subscription-service-limits,,1.0,,,,
Application Deployment,Infrastructure as Code,Use automation through ARM/TF to create your Azure resources,3acbe04b-be20-49d3-afda-47778424d116,1.0,Medium,https://docs.microsoft.com/azure/developer/terraform/create-k8s-cluster-with-tf-and-aks,,,-1.0,,,
Application Deployment,Development,Use canary or blue/green deployments,785c2fa5-5b56-4ad4-a408-fe72734c476b,,Medium,https://docs.microsoft.com/azure/architecture/reference-architectures/containers/aks/secure-baseline-aks,,1.0,,,,
Application Deployment,Development,If requrired for AKS Windows workloads HostProcess containers can be used,785c2fa5-5b56-4ad4-a408-fe72734c476b,,Low,https://learn.microsoft.com/azure/aks/use-windows-hpc,,1.0,,,,
Application Deployment,Development,Use KEDA if running event-driven workloads,a280dcf5-90ce-465d-b8e1-3f9ccbd46926,,Low,https://docs.microsoft.com/azure/azure-functions/functions-kubernetes-keda,,,-1.0,,1.0,
Application Deployment,Development,Use Dapr to ease microservice development,26886d20-b66c-457b-a591-19bf8e8f5c58,,Low,https://dapr.io/,,,1.0,,,
Governance and Security,security,Scan the container image against vulnerabilities,eeae2f69-a910-40ee-968d-9dc84a81bee5,,High,https://docs.microsoft.com/en-us/azure/security-center/azure-container-registry-integration,,,,,,Scan your container images to ensure there are no vulnerabilities in it
Governance and Security,security,Allow deploying containers only from known registries,956b3066-cacd-4f4a-ac65-bcb6f3849d06,,Medium,https://docs.microsoft.com/en-us/azure/governance/policy/concepts/rego-for-aks#built-in-policies,,,,,,One of the most common custom policies that you might want to consider is to restrict the images that can be deployed in your cluster. But it can also be addressed with a proper egress lockdown or using an admission controller
Governance and Security,security,Runtime Security of Applications,c4ecd644-5eac-4486-b9d7-265610dab743,,High,https://docs.paloaltonetworks.com/prisma/prisma-cloud/prisma-cloud-admin-compute/runtime_defense.html,,,,,,"Integrate Runtime Security for your pods.  To complete the defense in depth structure, ensure Runtime protection is in place to protect from process, network, storage and system call attacks."
Governance and Security,security,Quarantine of Docker Images in Docker Registries that have discovered issues,6a282691-c546-4adc-a457-befc23f8438f,,High,https://github.com/Azure/acr/tree/master/docs/preview/quarantine,,,,,,"Use policy to protect images from drift while in the registry, on both push and pull."
Governance and Security,security,Role-Based Access Contol (RBAC) to Docker Registries,33f3b8f9-1284-4a87-8303-69ddb811d809,,High,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-roles,,,,,,"The Azure Container Registry service supports a set of built-in Azure roles that provide different levels of permissions to an Azure container registry. Use Azure role-based access control (RBAC) to assign specific permissions to users, service principals, or other identities that need to interact with a registry."
Governance and Security,network,Network Segmentation of Docker Registries,62a0a21a-f80f-4afe-b552-fe810eb36619,,High,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-private-link,,,,,,"Limit access to a registry by assigning virtual network private IP addresses to the registry endpoints and using Azure Private Link. Network traffic between the clients on the virtual network and the registry's private endpoints traverses the virtual network and a private link on the Microsoft backbone network, eliminating exposure from the public internet. Private Link also enables enables private registry access from on-premises through Azure ExpressRoute private peering or a VPN gateway."
Governance and Security,security,Prefer distroless images,ff583eff-7dae-41f5-ae06-ca679a86614a,,Medium,https://github.com/GoogleContainerTools/distroless,,,,,,"When building a docker image, try to use the distroless version of the base OS image, to reduce the risk of vulnerabilities with preinstalled but unused tools. From example, use base-debian10 instead of debian10"
Governance and Security,security,IP Range authorization,05361bf8-0804-44a0-b427-a9d1997b143d,,High,https://docs.microsoft.com/en-us/azure/aks/api-server-authorized-ip-ranges,,,,,,"The API server is the central way to interact with your cluster. To improve cluster security and minimize attacks, the API server should only be accessible from a limited set of IP address ranges.By using a private cluster, you can ensure that network traffic between your API server and your node pools remains on the private network only. Because the API server has a private address, it means that to access it for administration or for deployment, you need to set up a private connection, like using a 'jumpbox' (i.e.: Azure Bastion)"
Governance and Security,security,Use System Node Pools,18e5df59-a39a-4c23-9c32-d54b059ee75a,,Medium,https://docs.microsoft.com/en-us/azure/aks/use-system-pools,,,,,,Manage system node pools in Azure Kubernetes Service (AKS)
Governance and Security,security,Configure your cluster for regulated industries,a9038f0c-6c66-49ca-9023-e2aa9b299b03,,Medium,https://docs.microsoft.com/en-us/azure/aks/use-multiple-node-pools#add-a-fips-enabled-node-pool-preview,,,,,,Some industries require certified kubernetes or to implement specific configurations. AKS offers several features to meet this requirements
Governance and Security,security,Private cluster,41517edb-62ad-4fa8-8d25-07daf8573a0d,,High,https://docs.microsoft.com/en-us/azure/aks/private-clusters,,,,,,"In a private cluster, the control plane or API server has internal IP addresses and is not exposed to Internet"
Governance and Security,resources,Refresh container when base image is updated,d8bc7b54-99cc-4071-a3dc-b47ccfd169c8,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-container-image-management#automatically-build-new-images-on-base-image-update,,,,,,"As you use base images for application images, use automation to build new images when the base image is updated. As those base images typically include security fixes, update any downstream application container images."
Governance and Security,security,Check if you need the Kubernetes dashboard,4fa71ba6-55ae-4388-8090-46083f583c35,,Medium,,,,,,,"Starting with Kubernetes version 1.19, AKS will no longer allow the managed Kubernetes dashboard add-on to be installed for security reasons, and the add-on is scheduled to be deprecated. Ensure the Kubernetes dashboard is not installed on the cluster."
Governance and Security,security,Use AKS and ACR integration without password,6b38838d-5aac-4e1e-8ace-c70a1e52b96b,,Medium,https://docs.microsoft.com/en-us/azure/aks/cluster-container-registry-integration,,,,,,"AKS can authenticate to ACR without using any password, but by using either Service Principal or Managed Identity."
Governance and Security,security,Encrypt ETCD at rest with your own key,4d8504d5-b1e9-4704-94a1-6e830136531e,,Low,https://docs.microsoft.com/en-us/azure/aks/use-kms-etcd-encryption,,,,,,"By default, ETCD is encrypted at rest with keys managed by Microsoft. It is possible to encrypt the database using your own key using a KMS plugin and store the key in Azure Key Vault."
Application Deployment,development,Implement a proper Liveness probe,afb32c73-6f61-4ee8-bcae-e4cb0a69ca62,,High,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,,,,,,"Many applications running for long periods of time eventually transition to broken states, and cannot recover except by being restarted. Kubernetes provides liveness probes to detect and remedy such situations. The probe is here to tell Kubernetes to restart your pod when it is not responding anymore"
Application Deployment,development,Implement a proper Startup probe,a805171d-8c22-4a18-93f8-9e2f2e1304c9,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,,,,,,Protect slow starting containers with startup probes. Startup probe allow to delay the initial check by liveness which could cause deadlock or wrong result
Application Deployment,development,Implement a proper Readiness probe,240df0f1-97b1-43c5-ba90-2da07fc2e154,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,,,,,,"Sometimes, applications are temporarily unable to serve traffic. For example, an application might need to load large data or configuration files during startup, or depend on external services after startup. In such cases, you donâ€™t want to kill the application, but you donâ€™t want to send it requests either. Kubernetes provides readiness probes to detect and mitigate these situations. A pod with containers reporting that they are not ready does not receive traffic through Kubernetes Services."
Application Deployment,development,Implement a proper prestop hook,9ea89de8-53a5-4038-a734-5185c3e5e691,,Low,https://kubernetes.io/docs/concepts/containers/container-lifecycle-hooks/,,,,,,"This hook is called immediately before a container is terminated due to an API request or management event such as liveness probe failure, preemption, resource contention and others. It can be used when you have critical process you want to finish or save when your pod is destroyed for any reason"
Application Deployment,development,Run more than one replica for your Deployment,62253e83-1471-48d2-a317-8ee16b70f12f,,Medium,,,,,,,Ensure that your application always configure proper replicas to ensure resiliency in the event of a pod crashing or being evicted.
Application Deployment,development,Apply tags to all resources,3bc838f9-26f4-4f0f-95ef-7313448951aa,,Medium,,,,,,,"Ensure that your components are tagged, it could be business, security or technical tags and these tags will help to assess or apply relevant policies."
Application Deployment,resiliency,Implement autoscaling of your applications,0f85eac3-3ddc-47d7-8334-66cb4949dbb4,,Low,https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/,,,,,,Automatically scale your application to the number of pods required to handle the current load. This can be achieved by using Horizontal Pod Autoscaler for CPU & Memory or by using KEDA for scaling based on other sources
Application Deployment,security,"Store your secrets in Azure Key Vault, don't inject passwords in Docker Images",52ecf87a-5329-4208-b3de-a5e3afe8259f,,High,https://github.com/Azure/secrets-store-csi-driver-provider-azure,,,,,,"Secrets are not encrypted in etcd, prefer to store your secrets in a proper HSM like Azure Key Vault. You can then inject secrets using CSI provider."
Application Deployment,security,Implement Azure Workload Identity,540af77b-6288-4a86-9a80-f785df050426,,Medium,https://azure.github.io/azure-workload-identity,,,,,,"Don't use fixed credentials within pods or container images, as they are at risk of exposure or abuse. Instead, use workload identity federation to access Azure Active Directory (Azure AD) protected resources without needing to manage secrets "
Application Deployment,security,Use Kubernetes namespaces to properly isolate your Kubernetes resources,ff84ac5d-3108-4586-b019-3ac4c5108138,,Medium,https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/,,,,,,Namespaces give you the ability to create logical partitions and enforce separation of your resources as well as limit the scope of user permissions. Don't forget not to use the Default namespace
Application Deployment,resources,Set up requests and limits on your containers,25950d20-13a5-4c88-a72e-c4aadbac8e68,,High,https://kubernetes.io/docs/concepts/configuration/manage-compute-resources-container/,,,,,,"When Containers have resource requests specified, the scheduler can make better decisions about which nodes to place Pods on. And when Containers have their limits specified, contention for resources on a node can be handled in a specified manner."
Application Deployment,resources,Specify the security context of your pod/container,acded64e-7370-4dad-81de-30f7570cdc11,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/security-context/,,,,,,"A security context defines privilege and access control settings for a Pod or Container. Control the capabilities and the rights your container can have. If you don't specify the security context, the pod get the 'default' one which may have more rights that it should"
Application Deployment,resources,Ensure your manifests respect good practices,cd6defa7-becd-4fa2-b4e3-4e29a5c89787,,Medium,https://thechief.io/c/editorial/kubernetes-yaml-enforcing-best-practices-and-security-policies-cicd-and-gitops-pipelines/,,,,,,Best practices inside the cluster start with the configuration of your manifests. Ensure that they respect good practices
Application Deployment,security,Conduct Dockerfile scanning to ensure Docker Image Security Best Practices,e0d62777-7cb2-40f0-bb56-1592469b6e1f,,High,https://snyk.io/blog/10-docker-image-security-best-practices/,,,,,,Define a Image build security baseline for your developers to follow. You should also use scanning tools to detect Dockerfile issue
Application Deployment,security,Static Analysis of Docker Images on Build,0dcdec44-d993-401a-8f00-e6bba5227061,,High,https://docs.microsoft.com/en-us/azure/defender-for-cloud/defender-for-containers-introduction,,,,,,Introduction of DevSecOps into the environment to promote a proactive security model that starts to shift the responsibility left
Application Deployment,security,Threshold enforcement of Docker Image Builds that contain vulnerabilities,f03b2857-567f-4455-8579-fde68f8bac44,,Medium,https://docs.paloaltonetworks.com/prisma/prisma-cloud/prisma-cloud-admin-compute/vulnerability_management/vuln_management_rules.html,,,,,,Restrict builds with identified issues.
Application Deployment,security,Compliance enforcement of Docker Image Builds,edaa060a-dc49-426f-880e-d526c77bef4e,,High,https://docs.microsoft.com/en-us/azure/aks/policy-samples,,,,,,Being able to assess and restrict the Compliance state of an image on build.
Application Deployment,development,Use Azure Migrate to quick containerize your applications,4935d15d-6e01-4b8e-9b5a-bea2463e0f61,,Low,https://aka.ms/AppContainerizationtoAKS,,,,,,The App Containerization tool offers a point-and-containerize approach to repackage applications as containers with minimal to no code changes by using the running state of the application. The tool currently supports containerizing ASP.NET applications and Java web applications running on Apache Tomcat.
Application Deployment,development,Apply the right deployment type to your application,fbde281c-fa57-4b60-bc8b-6f7ce6d72900,,Low,https://blog.container-solutions.com/deployment-strategies,,,,,,There are a variety of techniques to deploy new applications to production so choosing the right strategy is an important decision that needs to be made to leverage the impact of change on the consumer.
Application Deployment,development,Don't use naked pods,418907d5-a817-45fa-8ad4-3ec7c7dc9b73,,Low,,,,,,,Naked pods are pods not linked to a Replicaset or a Deployment. Naked Pods will not be rescheduled in the event of a node failure.
Application Deployment,development,Control the usage of imagePullPolicy,d478c7e6-5a1c-4364-bb3d-01d3abe3320a,,Low,https://kubernetes.io/docs/concepts/containers/images/#updating-images,,,,,,If this attributes is not properly define kubernetes downloads the container image for each new instance of the containers.
BC and DR,devops,Ensure you can perform a whitespace deployment,bc937797-c84a-4a78-bbc4-c2d945e24538,,High,,,,,,,A whitespace (greenfield) deployment is the exercise to delete everything and to redeploy the whole platform in an automated way.
BC and DR,resiliency,Use availability zones,64154e31-2272-4ce7-afce-cdd2d1846d7e,,High,https://docs.microsoft.com/en-us/azure/aks/availability-zones#create-an-aks-cluster-across-availability-zones,,,,,,An Azure Kubernetes Service (AKS) cluster distributes resources such as the nodes and storage across logical sections of the underlying Azure compute infrastructure. This deployment model makes sure that the nodes run across separate update and fault domains in a single Azure datacenter.
BC and DR,resiliency,Plan for multiregion deployment,7ab5321a-75a8-43bc-ae31-cf958cb8aa2d,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#plan-for-multiregion-deployment,,,,,,"When you deploy multiple AKS clusters, choose regions where AKS is available, and use paired regions."
BC and DR,resiliency,Use Azure Traffic Manager to route traffic,db4d699a-aa42-4a94-bbed-495f14b7b4af,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#use-azure-traffic-manager-to-route-traffic,,,,,,"Azure Traffic Manager can direct customers to their closest AKS cluster and application instance. For the best performance and redundancy, direct all application traffic through Traffic Manager before it goes to your AKS cluster."
BC and DR,resiliency,Create a storage migration plan,c82d8149-b808-4bab-a678-d91eca52d71f,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#create-a-storage-migration-plan,,,,,,"Your applications might use Azure Storage for their data. Because your applications are spread across multiple AKS clusters in different regions, you need to keep the storage synchronized"
BC and DR,resiliency,Guarantee SLA for the control plane,407233d7-8b03-466b-8b89-c5504707d799,,Low,https://docs.microsoft.com/en-us/azure/aks/uptime-sla,,,,,,"Uptime SLA is an optional feature to enable a financially backed, higher SLA for a cluster. It provides you a 99,95% SLA instead of the 99,5% SLO and is relevant for your production clusters"
BC and DR,resiliency,Avoid Pods being placed into a single node,1ecaa16e-7ed0-4b3f-90f3-7ca239d87f06,,Low,https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/#inter-pod-affinity-and-anti-affinity,,,,,,"Even if you run several copies of your Pods, there are no guarantees that losing a node won't take down your service."
BC and DR,resiliency,Enable geo-replication for container images,be1abc39-fca5-4eb8-94ba-d7dac8c8f3c8,,Medium,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-geo-replication,,,,,,"Companies that want a local presence, or a hot backup, choose to run services from multiple Azure regions."
Identity and Access Management,security,AAD Integration,65b0dac6-2b3c-4e4f-b1ab-b0ccb63edd3d,,High,https://docs.microsoft.com/en-us/azure/aks/managed-aad,,,,,,"Azure Kubernetes Service (AKS) can be configured to use Azure Active Directory (Azure AD) for user authentication. In this configuration, you can sign in to an AKS cluster by using your Azure AD authentication token."
Identity and Access Management,security,AKS Managed Identity,ee847b39-03b9-4b84-8ac0-c7460a4dcc89,,High,https://docs.microsoft.com/en-us/azure/aks/use-managed-identity,,,,,,Each AKS cluster needs either a Managed Identity or Service Principal.  We recommend using Managed Identity in AKS
Identity and Access Management,security,K8S RBAC + AAD Integration,e869e232-3270-44fa-be6e-b18eec846028,,High,https://docs.microsoft.com/en-us/azure/aks/azure-ad-rbac,,,,,,Control access to cluster resources using Kubernetes role-based access control and Azure Active Directory identities in Azure Kubernetes Service
Network Topology and Connectivity,network,Choose the appropriate network model,148072dd-bea6-4db4-a9d8-e5cf708ccae6,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#choose-the-appropriate-network-model,,,,,,"For integration with existing virtual networks or on-premises networks, use Azure CNI networking in AKS. This network model also allows greater separation of resources and controls in an enterprise environment but be aware of the impact on the network topology/IP ranges"
Network Topology and Connectivity,network,Plan IP addressing carefully,cf94db78-3d97-4c3b-aa25-6ac857cc4154,,Medium,https://docs.microsoft.com/en-us/azure/aks/configure-azure-cni#plan-ip-addressing-for-your-cluster,,,,,,The size of your virtual network and its subnet must accommodate the number of pods you plan to run and the number of nodes for the cluster.
Network Topology and Connectivity,network,Distribute ingress traffic,e27399d0-1199-4cf6-8482-1df676fb3c58,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#distribute-ingress-traffic,,,,,,"To distribute HTTP or HTTPS traffic to your applications, use ingress resources and controllers. Ingress controllers provide additional features over a regular Azure load balancer, and can be managed as native Kubernetes resources."
Network Topology and Connectivity,network,Secure your exposed applications with a web application firewall (WAF),5d88b385-bdf0-4277-8523-d2ebae35cf6a,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#secure-traffic-with-a-web-application-firewall-waf,,,,,,"If you plan to host exposed applications, to scan incoming traffic for potential attacks, use a web application firewall (WAF) such as Barracuda WAF for Azure or Azure Application Gateway. These more advanced network resources can also route traffic beyond just HTTP and HTTPS connections or basic SSL termination."
Network Topology and Connectivity,network,Don't expose your load-balancer on Internet if not necessary,c02d93b0-3fdd-4dbe-a763-e456f11f95fa,,Medium,https://www.openpolicyagent.org/docs/latest/kubernetes-tutorial/#4-define-a-policy-and-load-it-into-opa-via-kubernetes,,,,,,"When a user creates an Ingress manifest, they can use any hostname in it. You may want to control which hostnames are allowed to use, like your company's hostnames."
Network Topology and Connectivity,network,Apply control on ingress hostnames,23d3ca74-996b-4511-b72a-b3a32ccc5f52,,Medium,https://docs.microsoft.com/en-us/azure/aks/ingress-internal-ip,,,,,,There is almost no reason to directly expose the ingress entry point to Internet but by default AKS create a public one. Tell him to create an internal one only.
Network Topology and Connectivity,network,Control traffic flow with network policies,47ff7a95-d1b3-4259-a4ff-314808581f70,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#control-traffic-flow-with-network-policies,,,,,,"Use network policies to allow or deny traffic to pods. By default, all traffic is allowed between pods within a cluster. For improved security, define rules that limit pod communication."
Network Topology and Connectivity,network,Configure default network policies in each namespace,cdce6dff-4e4c-4a02-83aa-a3f76e89e44a,,Medium,https://github.com/ahmetb/kubernetes-network-policy-recipes,,,,,,Start by creating a deny all policy in each namespace and then add specific policies.
Network Topology and Connectivity,network,Prevent data-leaking with egress lockdown,60ace839-6a68-4a50-8fff-9335e3ca2848,,Medium,https://docs.microsoft.com/en-us/azure/aks/limit-egress-traffic,,,,,,Use Azure Firewall to secure and control all egress traffic going outside of the cluster.
Network Topology and Connectivity,network,Don't expose your container registry on Internet,5d209d65-76e9-4b40-8028-93ae2de62c1b,,Low,https://docs.microsoft.com/en-us/azure/container-registry/container-registry-private-link,,,,,,"When possible, use private link to only allow private network to reach your registry."
Network Topology and Connectivity,network,Bloc Pod access to VMSS IMDS,70c9207a-1848-45f1-82a8-ad4d95e697b8,,Medium,https://docs.microsoft.com/en-us/azure/active-directory/managed-identities-azure-resources/how-to-use-vm-token#get-a-token-using-curl,,,,,,"By default, Pods have access to VMSS IMDS and can request access token from the attached Managed Identity. This access should be restriced by using Network Policy."
Network Topology and Connectivity,network,Enable traffic management,edf75792-8213-4c74-9464-c8c266b09047,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-multi-region#use-azure-traffic-manager-to-route-traffic,,,,,,"Azure Traffic Manager can direct customers to their closest AKS cluster and application instance. For the best performance and redundancy, direct all application traffic through Traffic Manager before it goes to your AKS cluster."
Operations,operation,Maintain kubernetes version up to date,3a346b23-9242-4fec-9a4c-2725db73c6fc,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-security#regularly-update-to-the-latest-version-of-kubernetes,,,,,,"To stay current on new features and bug fixes, regularly upgrade to the Kubernetes version in your AKS cluster. Support for kubernetes is current and N-2 versions only"
Operations,operation,Keep nodes up to date and patched,f74cf971-00f7-479d-a77a-e0fb0fe70f1c,,High,https://docs.microsoft.com/en-us/azure/aks/node-image-upgrade,,,,,,"AKS supports upgrading the images on a node so you're up to date with the newest OS and runtime updates. AKS provides one new image per week with the latest updates, so it's beneficial to upgrade your node's images regularly for the latest features, including Linux or Windows patches"
Operations,operation,Securely connect to nodes through a bastion host,bebd2ea0-5cfa-4b97-b027-768c4b3a50e7,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-network#securely-connect-to-nodes-through-a-bastion-host,,,,,,"Don't expose remote connectivity to your AKS nodes. Create a bastion host, or jump box, in a management virtual network. Use the bastion host to securely route traffic into your AKS cluster to remote management tasks."
Operations,operation,Regularly check for cluster issues ,47c8383d-69ad-4eca-b6e2-50a848067fe2,,Medium,https://github.com/Azure/aks-periscope,,,,,,"Regularly run the latest version of cluster scanning open source tool to detect issues in your cluster. For instance, if you apply resource quotas on an existing AKS cluster, run kubestriker first to find pods that don't have resource requests and limits defined."
Operations,operation,Monitor the security of your cluster with Azure Security Center,a3ac15cb-b0d3-44c5-ab60-a5a7b7d188fb,,Medium,https://docs.microsoft.com/en-us/azure/security-center/azure-kubernetes-service-integration,,,,,,Security Center brings security benefits to your AKS clusters using data already gathered by the AKS master node.
Operations,operation,Provision a log aggregation tool,07c3b4d5-2f21-4a45-b707-514000ba35b3,,High,https://docs.microsoft.com/en-us/azure/azure-monitor/insights/container-insights-analyze,,,,,,"Ensure that you are always aware of what happens in your cluster. Monitor the health of the cluster (nodes, server) but also the pods"
Operations,operation,Enable master node logs,191cd80b-958f-4e3b-bd4a-e11c22744641,,High,https://docs.microsoft.com/en-us/azure/aks/view-control-plane-logs,,,,,,"To help troubleshoot your application and services, you may need to view the logs generated by the master components. Be aware that if you don't enable these logs, there is no way for Microsoft to retrieve them for you"
Operations,operation,Collect metrics,a2bd6bca-b4bf-4dca-bfb2-03a5cd7e9dd3,,High,https://docs.microsoft.com/en-us/azure/azure-monitor/insights/container-insights-prometheus-integration,,,,,,"If default integration can collect telemetry data and basic metrics (CPU/Memory), they don't collect custom metrics and more detailed information. It's often necessary to install a 3rd party software (prometheus is recommend within Kubernetes) and they store these metrics to exploit them."
Operations,operation,Configure distributed tracing,72d7df2b-d72d-4fdb-8fc9-63d3dea1be4a,,Low,https://github.com/microsoft/Application-Insights-K8s-Codeless-Attach,,,,,,"Distributed tracing, also called distributed request tracing, is a method used to profile and monitor applications, especially those built using a microservices architecture. Distributed tracing helps pinpoint where failures occur and what causes poor performance."
Operations,operation,Control the compliance with Azure Policies,b5a7d0b7-b293-4242-a870-23c9a8b24581,,Medium,https://docs.microsoft.com/en-us/azure/governance/policy/concepts/rego-for-aks,,,,,,"Azure Policy integrates with the Azure Kubernetes Service (AKS) to apply at-scale enforcements and safeguards on your clusters in a centralized, consistent manner."
Operations,operation,Read The Definitive Guide to Securing Kubernetes,062195bf-206f-4b73-a51d-dd5cb4c5bc3c,,High,https://info.aquasec.com/securing_kubernetes,,,,,,This whitepaper provides an overview of key aspects and best practices of K8s security
Operations,operation,Enable Microsoft Defender for Kubernetes,cecad1db-e806-4668-9ae9-2556327f0e3c,,High,https://docs.microsoft.com/en-us/azure/defender-for-cloud/defender-for-containers-introduction,,,,,,Microsoft Defender for Kubernetes provides protections for your Kubernetes clusters wherever they're running (AKS and on-premesis)
Operations,operation,Use Azure Key Vault,d026cff4-1f73-49b7-8070-2888665307aa,,High,https://docs.microsoft.com/en-us/azure/key-vault/general/key-vault-integrate-kubernetes,,,,,,Use Azure Key Vault to store Secrets and Certificates
Operations,operation,Use GitOps,c41f7aa0-31e3-44b6-993b-becdb5b3e22c,,High,https://www.weave.works/technologies/gitops,,,,,,GitOps works by using Git as a single source of truth for declarative infrastructure and applications
Operations,operation,Make your life easier with K8S Tools,62cea8e0-9f54-4691-beee-742fbe4b3faf,,Medium,https://helm.sh,,,,,,The Kubernetes ecosystem is strengthened by many tools that make operating it easier.  Here's a few
Operations,operation,Don't use the default namespace,ee54b0e5-c816-4cc5-90cd-b2fc3cf75bf4,,Medium,,,,,,,It's recommended to keep all applications in a namespace other than default
Operations,network,Apply different types of labels to all resources,8a80cb3a-177b-4b9b-858c-0e65466dcc55,,Low,https://kubernetes.io/docs/concepts/overview/working-with-objects/common-labels/,,,,,,"A common set of labels allows tools to work interoperably, describing objects in a common manner that all tools can understand. For instance, resources should have technical, business and security labels. "
Operations,other,Logically isolate cluster,c4783159-ba28-4961-b3fb-6fa516e93d48,,Medium,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-isolation#logically-isolate-clusters,,,,,,Use logical isolation to separate teams and projects. Try to minimize the number of physical AKS clusters you deploy to isolate teams or applications
Operations,other,Physically isolate cluster,b8525e9e-8d19-4ee8-ac5f-cd35eef8c160,,High,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-cluster-isolation#physically-isolate-clusters,,,,,,Minimize the use of physical isolation for each separate team or application deployment
Operations,operation,VM Sizing,c5050098-b015-4d48-a5dd-6863bb69b6b9,,Medium,https://learnk8s.io/kubernetes-instance-calculator,,,,,,"Prefer fewer, larger clusters over of many, smaller clusters"
Operations,operation,Set Upgrade Channel,be291aa0-8206-4235-8129-5eb97a90a22c,,Medium,https://docs.microsoft.com/en-us/azure/aks/upgrade-cluster#set-auto-upgrade-channel,,,,,,"In addition to manually upgrading a cluster, you can set an auto-upgrade channel on your cluster"
Operations,network,Fine tune your node configuration,ab585c0f-f7cb-49f4-844d-b551117368f2,,Low,https://docs.microsoft.com/en-us/azure/aks/custom-node-configuration,,,,,,Customizing your node configuration allows you to configure or tune your operating system (OS) settings or the kubelet parameters to match the needs of the workloads.
Operations,other,Customize your clusters with extensions,df8d34c5-ae51-45b5-acf5-9ca7e1f4ad48,,Low,https://docs.microsoft.com/en-gb/azure/aks/cluster-extensions,,,,,,Cluster extensions provides an Azure Resource Manager driven experience for installation and lifecycle management of services like Azure Machine Learning (ML) on an AKS cluster. 
Resource management,resiliency,Enforce resource quotas,cc93dfdd-276b-4c01-802b-e1815bb45810,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-scheduler#enforce-resource-quotas,,,,,,"Plan and apply resource quotas at the namespace level. If pods don't define resource requests and limits, reject the deployment. Monitor resource usage and adjust quotas as needed."
Resource management,resiliency,Namespaces should have LimitRange,562d8801-07c3-4074-a03f-87038f325750,,Low,https://kubernetes.io/docs/concepts/policy/limit-range/,,,,,, A LimitRange is a policy to constrain resource allocations (to Pods or Containers) in a namespace. It's useful to ensure that pods don't forget to declare request limits
Resource management,resiliency,Set memory limits and requests for all containers,e59c6a60-2494-40ae-bf58-128fbf60fb39,,Medium,https://kubernetes.io/docs/tasks/configure-pod-container/assign-memory-resource/,,,,,,Set CPU and memory limits and requests to all the containers. It prevents memory leaks and CPU over-usage and protects the whole platform
Resource management,resiliency,Configure pod disruption budgets,7dfc4082-f5d7-4eda-901b-8ae22d0effcd,,Low,https://docs.microsoft.com/en-us/azure/aks/operator-best-practices-scheduler#plan-for-availability-using-pod-disruption-budgets,,,,,,"To maintain the availability of applications, define Pod Disruption Budgets (PDBs) to make sure that a minimum number of pods are available in the cluster."
